model,quantization,steps,guidance,strength,detector,sample_count,fake_rate,avg_confidence_on_fake_predictions,avg_confidence_overall,avg_elapsed_time
sd3,fp4,50,3.5,0.3,NPR,2.0,0.5,0.9919707775115968,0.4959853887558099,0.0914148092269897
sd3,fp4,50,3.5,0.3,R50_TF,2.0,0.0,,0.4073,0.17149999999999999
sd3,fp4,50,3.5,0.45,CLIP-D,2.0,1.0,0.9608615040779114,0.9608615040779114,0.06373941898345944
sd3,fp4,50,3.5,0.45,NPR,2.0,0.0,,0.2291767597202017,0.0925352573394775
sd3,fp4,50,3.5,0.45,R50_TF,2.0,0.0,,0.41815,0.1725
sd3,fp4,50,3.5,0.6,CLIP-D,2.0,1.0,0.9505055248737335,0.9505055248737335,0.062008380889892495
sd3,fp4,50,3.5,0.6,NPR,2.0,0.0,,7.845292177110228e-06,0.0902915000915527
sd3,fp4,50,3.5,0.6,R50_TF,2.0,0.0,,0.4169,0.169
sd3,fp4,50,5.0,0.3,CLIP-D,2.0,1.0,0.7872335016727448,0.7872335016727448,0.0617578029632568
sd3,fp4,50,5.0,0.3,NPR,2.0,0.0,,0.13753485679627445,0.09288191795349116
sd3,fp4,50,5.0,0.3,R50_TF,2.0,0.0,,0.4078,0.173
sd3,fp4,50,5.0,0.45,CLIP-D,2.0,1.0,0.949924111366272,0.949924111366272,0.06308329105377194
sd3,fp4,50,5.0,0.45,NPR,2.0,0.5,0.6449935436248779,0.32249677181244196,0.094572901725769
sd3,fp4,50,5.0,0.45,R50_TF,2.0,0.0,,0.42085,0.17099999999999999
sd3,fp4,50,5.0,0.6,CLIP-D,2.0,1.0,0.9569112062454224,0.9569112062454224,0.06337463855743405
sd3,fp4,50,5.0,0.6,NPR,2.0,0.0,,3.800391332430447e-05,0.09567558765411374
sd3,fp4,50,5.0,0.6,R50_TF,2.0,0.0,,0.4188,0.21250000000000002
sd3,fp4,50,6.5,0.3,CLIP-D,2.0,1.0,0.7419522404670715,0.7419522404670715,0.0620193481445312
sd3,fp4,50,6.5,0.3,NPR,2.0,0.5,0.9615936279296876,0.48079681396484664,0.08887457847595209
sd3,fp4,50,6.5,0.3,R50_TF,2.0,0.0,,0.40975,0.182
sd3,fp4,50,6.5,0.45,CLIP-D,2.0,1.0,0.9626419544219971,0.9626419544219971,0.0622998476028442
sd3,fp4,50,6.5,0.45,NPR,2.0,0.5,0.9851958751678468,0.49259793758395193,0.09526491165161124
sd3,fp4,50,6.5,0.45,R50_TF,2.0,0.0,,0.42085,0.17099999999999999
sd3,fp4,50,6.5,0.6,CLIP-D,2.0,1.0,0.975602775812149,0.975602775812149,0.0616998672485351
sd3,fp4,50,6.5,0.6,NPR,2.0,0.0,,3.752245547030249e-05,0.0945677757263183
sd3,fp4,50,6.5,0.6,R50_TF,2.0,0.0,,0.41545,0.17049999999999998
sd3,fp8,30,3.5,0.3,CLIP-D,2.0,0.5,0.9143385291099548,0.4587069281842559,0.06613087654113764
sd3,fp8,30,3.5,0.3,NPR,2.0,0.5,0.980684757232666,0.4903423786163332,0.08946645259857175
sd3,fp8,30,3.5,0.3,R50_TF,2.0,0.0,,0.40815,0.16999999999999998
sd3,fp8,30,3.5,0.45,CLIP-D,2.0,0.5,0.7817705273628235,0.391700817970559,0.06196105480194085
sd3,fp8,30,3.5,0.45,NPR,2.0,0.5,0.94790780544281,0.47395390272141197,0.09909236431121825
sd3,fp8,30,3.5,0.45,R50_TF,2.0,0.0,,0.3987,0.16949999999999998
sd3,fp8,30,3.5,0.6,CLIP-D,2.0,0.5,0.9524930119514464,0.5795194432139397,0.06520152091979975
sd3,fp8,30,3.5,0.6,NPR,2.0,0.5,0.5064239501953125,0.253211975142963,0.0954881906509399
sd3,fp8,30,3.5,0.6,R50_TF,2.0,0.0,,0.41274999999999995,0.175
sd3,fp8,30,5.0,0.3,CLIP-D,2.0,0.5,0.9381099343299866,0.47831683419644827,0.06251919269561759
sd3,fp8,30,5.0,0.3,NPR,2.0,0.5,0.9902543425559998,0.495127171278,0.0925796031951904
sd3,fp8,30,5.0,0.3,R50_TF,2.0,0.0,,0.40935,0.1665
sd3,fp8,30,5.0,0.45,CLIP-D,2.0,0.5,0.5876948237419128,0.29711794294416904,0.06328773498535155
sd3,fp8,30,5.0,0.45,NPR,2.0,0.5,0.988459050655365,0.4942295253276947,0.0891422033309936
sd3,fp8,30,5.0,0.45,R50_TF,2.0,0.0,,0.4043,0.175
sd3,fp8,30,5.0,0.6,CLIP-D,2.0,0.5,0.8694521188735962,0.6581711769104004,0.06246507167816161
sd3,fp8,30,5.0,0.6,NPR,2.0,0.0,,0.011042655448190405,0.0895179510116577
sd3,fp8,30,5.0,0.6,R50_TF,2.0,0.0,,0.41159999999999997,0.1765
sd3,fp8,30,6.5,0.3,CLIP-D,2.0,0.5,0.7970051169395447,0.5730472058057785,0.06356298923492429
sd3,fp8,30,6.5,0.3,NPR,2.0,0.5,0.8605338335037231,0.43026691675186163,0.09410119056701655
sd3,fp8,30,6.5,0.3,R50_TF,2.0,0.0,,0.4067,0.17049999999999998
sd3,fp8,30,6.5,0.45,CLIP-D,2.0,0.0,,0.2613639552146196,0.06520664691925045
sd3,fp8,30,6.5,0.45,NPR,2.0,0.0,,0.043515078723433555,0.0905342102050781
sd3,fp8,30,6.5,0.45,R50_TF,2.0,0.0,,0.4024,0.1735
